Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[organism part]	Characteristics[stimulus]	Characteristics[inferred cell type]	Characteristics[plate identity]	Characteristics[run id]	Characteristics[single cell well quality]	Characteristics[post analysis well quality]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]	Factor Value[cell type]	Factor Value[FACS marker]	Factor Value[organism part]	Factor Value[stimulus]	Factor Value[inferred cell type]
24013_#112	ERS3961454	SAMEA6161443	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#112	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#112	sequencing assay	ERX3641090	24013_112_R1.fastq.gz	24013_112_R1.fastq.gz	ERR3649006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3649006/ERR3649006_1.fastq.gz	cell24013_112	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#112	ERS3961454	SAMEA6161443	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#112	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#112	sequencing assay	ERX3641090	24013_112_R2.fastq.gz	24013_112_R2.fastq.gz	ERR3649006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3649006/ERR3649006_2.fastq.gz	cell24013_112	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#113	ERS3961455	SAMEA6161444	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#113	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#113	sequencing assay	ERX3641091	24013_113_R1.fastq.gz	24013_113_R1.fastq.gz	ERR3649007	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3649007/ERR3649007_1.fastq.gz	cell24013_113	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#113	ERS3961455	SAMEA6161444	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#113	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#113	sequencing assay	ERX3641091	24013_113_R2.fastq.gz	24013_113_R2.fastq.gz	ERR3649007	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3649007/ERR3649007_2.fastq.gz	cell24013_113	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#114	ERS3961456	SAMEA6161445	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#114	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#114	sequencing assay	ERX3641092	24013_114_R1.fastq.gz	24013_114_R1.fastq.gz	ERR3649008	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3649008/ERR3649008_1.fastq.gz	cell24013_114	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#114	ERS3961456	SAMEA6161445	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#114	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#114	sequencing assay	ERX3641092	24013_114_R2.fastq.gz	24013_114_R2.fastq.gz	ERR3649008	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3649008/ERR3649008_2.fastq.gz	cell24013_114	dendritic cell	CD1a- CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#115	ERS3961457	SAMEA6161446	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#115	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#115	sequencing assay	ERX3641093	24013_115_R1.fastq.gz	24013_115_R1.fastq.gz	ERR3649009	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3649009/ERR3649009_1.fastq.gz	cell24013_115	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#115	ERS3961457	SAMEA6161446	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#115	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#115	sequencing assay	ERX3641093	24013_115_R2.fastq.gz	24013_115_R2.fastq.gz	ERR3649009	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3649009/ERR3649009_2.fastq.gz	cell24013_115	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#116	ERS3961458	SAMEA6161447	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#116	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#116	sequencing assay	ERX3641094	24013_116_R1.fastq.gz	24013_116_R1.fastq.gz	ERR3649010	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3649010/ERR3649010_1.fastq.gz	cell24013_116	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#116	ERS3961458	SAMEA6161447	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#116	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#116	sequencing assay	ERX3641094	24013_116_R2.fastq.gz	24013_116_R2.fastq.gz	ERR3649010	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3649010/ERR3649010_2.fastq.gz	cell24013_116	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#117	ERS3961459	SAMEA6161448	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#117	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#117	sequencing assay	ERX3641095	24013_117_R1.fastq.gz	24013_117_R1.fastq.gz	ERR3649011	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3649011/ERR3649011_1.fastq.gz	cell24013_117	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#117	ERS3961459	SAMEA6161448	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#117	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#117	sequencing assay	ERX3641095	24013_117_R2.fastq.gz	24013_117_R2.fastq.gz	ERR3649011	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3649011/ERR3649011_2.fastq.gz	cell24013_117	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#118	ERS3961460	SAMEA6161449	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#118	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#118	sequencing assay	ERX3641096	24013_118_R1.fastq.gz	24013_118_R1.fastq.gz	ERR3649012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/002/ERR3649012/ERR3649012_1.fastq.gz	cell24013_118	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#118	ERS3961460	SAMEA6161449	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#118	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#118	sequencing assay	ERX3641096	24013_118_R2.fastq.gz	24013_118_R2.fastq.gz	ERR3649012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/002/ERR3649012/ERR3649012_2.fastq.gz	cell24013_118	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#119	ERS3961461	SAMEA6161450	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#119	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#119	sequencing assay	ERX3641097	24013_119_R1.fastq.gz	24013_119_R1.fastq.gz	ERR3649013	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/003/ERR3649013/ERR3649013_1.fastq.gz	cell24013_119	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#119	ERS3961461	SAMEA6161450	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#119	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#119	sequencing assay	ERX3641097	24013_119_R2.fastq.gz	24013_119_R2.fastq.gz	ERR3649013	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/003/ERR3649013/ERR3649013_2.fastq.gz	cell24013_119	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#12	ERS3961462	SAMEA6161451	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#12	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#12	sequencing assay	ERX3641098	24013_12_R1.fastq.gz	24013_12_R1.fastq.gz	ERR3649014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3649014/ERR3649014_1.fastq.gz	cell24013_12	conventional dendritic cell	CD11c+ HLA-DR+	blood	none	not available
24013_#12	ERS3961462	SAMEA6161451	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#12	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#12	sequencing assay	ERX3641098	24013_12_R2.fastq.gz	24013_12_R2.fastq.gz	ERR3649014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3649014/ERR3649014_2.fastq.gz	cell24013_12	conventional dendritic cell	CD11c+ HLA-DR+	blood	none	not available
24013_#120	ERS3961463	SAMEA6161452	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#120	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#120	sequencing assay	ERX3641099	24013_120_R1.fastq.gz	24013_120_R1.fastq.gz	ERR3649015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3649015/ERR3649015_1.fastq.gz	cell24013_120	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#120	ERS3961463	SAMEA6161452	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell	CF03YBY3	24013	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#120	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#120	sequencing assay	ERX3641099	24013_120_R2.fastq.gz	24013_120_R2.fastq.gz	ERR3649015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3649015/ERR3649015_2.fastq.gz	cell24013_120	dendritic cell	CD1a+ CD123Int BDCA2+	skin	none	activated dendritic cell
24013_#121	ERS3961464	SAMEA6161453	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#121	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#121	sequencing assay	ERX3641100	24013_121_R1.fastq.gz	24013_121_R1.fastq.gz	ERR3649016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3649016/ERR3649016_1.fastq.gz	cell24013_121	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#121	ERS3961464	SAMEA6161453	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#121	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#121	sequencing assay	ERX3641100	24013_121_R2.fastq.gz	24013_121_R2.fastq.gz	ERR3649016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3649016/ERR3649016_2.fastq.gz	cell24013_121	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#122	ERS3961465	SAMEA6161454	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#122	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#122	sequencing assay	ERX3641101	24013_122_R1.fastq.gz	24013_122_R1.fastq.gz	ERR3649017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3649017/ERR3649017_1.fastq.gz	cell24013_122	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#122	ERS3961465	SAMEA6161454	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#122	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#122	sequencing assay	ERX3641101	24013_122_R2.fastq.gz	24013_122_R2.fastq.gz	ERR3649017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3649017/ERR3649017_2.fastq.gz	cell24013_122	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#123	ERS3961466	SAMEA6161455	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#123	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#123	sequencing assay	ERX3641102	24013_123_R1.fastq.gz	24013_123_R1.fastq.gz	ERR3649018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3649018/ERR3649018_1.fastq.gz	cell24013_123	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#123	ERS3961466	SAMEA6161455	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#123	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#123	sequencing assay	ERX3641102	24013_123_R2.fastq.gz	24013_123_R2.fastq.gz	ERR3649018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3649018/ERR3649018_2.fastq.gz	cell24013_123	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#124	ERS3961467	SAMEA6161456	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#124	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#124	sequencing assay	ERX3641103	24013_124_R1.fastq.gz	24013_124_R1.fastq.gz	ERR3649019	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3649019/ERR3649019_1.fastq.gz	cell24013_124	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#124	ERS3961467	SAMEA6161456	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#124	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#124	sequencing assay	ERX3641103	24013_124_R2.fastq.gz	24013_124_R2.fastq.gz	ERR3649019	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3649019/ERR3649019_2.fastq.gz	cell24013_124	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#125	ERS3961468	SAMEA6161457	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#125	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#125	sequencing assay	ERX3641104	24013_125_R1.fastq.gz	24013_125_R1.fastq.gz	ERR3649020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3649020/ERR3649020_1.fastq.gz	cell24013_125	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#125	ERS3961468	SAMEA6161457	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#125	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#125	sequencing assay	ERX3641104	24013_125_R2.fastq.gz	24013_125_R2.fastq.gz	ERR3649020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3649020/ERR3649020_2.fastq.gz	cell24013_125	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#126	ERS3961469	SAMEA6161458	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#126	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#126	sequencing assay	ERX3641105	24013_126_R1.fastq.gz	24013_126_R1.fastq.gz	ERR3649021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3649021/ERR3649021_1.fastq.gz	cell24013_126	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
24013_#126	ERS3961469	SAMEA6161458	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available	CF03YBY9	24013	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	24013_#126	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	24013_#126	sequencing assay	ERX3641105	24013_126_R2.fastq.gz	24013_126_R2.fastq.gz	ERR3649021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3649021/ERR3649021_2.fastq.gz	cell24013_126	plasmacytoid dendritic cell	CD123Hi BDCA2+	blood	none	not available
